Image,,String,English,Marathi,Hindi,Malayalam,Nepali,Bangla,Gujarati,Punjabi,Tamil,Odia,Telugu,Assamese,Khasi,Kannada,Urdu,Manipuri,Konkani,Portuguese,Manipuri_meitei
4,,7,People from the North-East are no more likely to be carriers or spreaders of the coronavirus than people from other regions. Any person who is infected with the novel coronavirus and does not follow precautions can spread the infection.,,,,,,,,,,,,,,,,,,
5,Image 5,1,Claim:,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,দাবী :,Ka jingkam ka bym shisha:,ದಾವೆ:,دعویٰ :,ক্লেইমঃ,दावो:,afirmação:,TMjrib wAfM:
5,,2,Consuming Kalonji seeds which are rich in hydroxychloroquine will prevent COVID-19,,,,,,,,,,,,,,,,,,
5,,3,Verdict:,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣ୍ଣୟ :,తీర్పు:,উত্তৰ :,Ka jingshem:,ತೀರ್ಪು:,فیصلہ:,ভর্দিক্টঃ,निर्णय:,Veredito:,acuM-cuMd :
5,,4,Not True!,असत्य / खोटं!,असत्य / झूठ ,ശരിയല്ല!,सत्य होइन । ,সত্য নয়।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,মিছা !,Kam dei kaba shisha!,ನಿಜವಲ್ಲ!,یہ سچ نہیں ہے۔,লাল্লি !,खरें न्हंय!,Falso!,cuMde
5,,5,,,,,,,,,,,,,,,,,,,
5,,6,Why?,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,কিয়? :,Balei?,ಏಕೆ:,کیوں,মরমদিঃ,किद्याक?,Porque?,mrM:
5,,7,"Kalonji seeds are not rich in hydroxychloroquine, and have not been shown to protect against COVID-19. They are instead rich in an unrelated compound called thymoquinone.",,,,,,,,,,,,,,,,,,
6,Image 6,1,Claim:,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,দাবী :,Ka jingkam ka bym shisha:,ದಾವೆ:,دعویٰ :,ক্লেইমঃ,दावो:,afirmação:,TMjrib wAfM:
6,,2,Spraying bleach on someone who might be infected destroys the novel coronavirus.,,,,,,,,,,,,,,,,,,
6,,3,Verdict:,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣ୍ଣୟ :,తీర్పు:,উত্তৰ :,Ka jingshem:,ತೀರ್ಪು:,فیصلہ:,ভর্দিক্টঃ,निर्णय:,Veredito:,acuM-cuMd :
6,,4,Not True!,असत्य / खोटं!,असत्य / झूठ ,ശരിയല്ല!,सत्य होइन । ,সত্য নয়।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,মিছা !,Kam dei kaba shisha!,ನಿಜವಲ್ಲ!,یہ سچ نہیں ہے۔,লাল্লি !,खरें न्हंय!,Falso!,cuMde
6,,5,,,,,,,,,,,,,,,,,,,
6,,6,Why?,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,কিয়? :,Balei?,ಏಕೆ:,کیوں,মরমদিঃ,किद्याक?,Porque?,mrM:
6,,7,"Spraying bleach cannot destroy the coronavirus inside the body of infected people. Bleach can be used to disinfect surfaces. However, it is generally not recommended for use on humans, especially at high concentrations, since it can irritate the eyes, throat and skin.",,,,,,,,,,,,,,,,,,
7,Image 7,1,Claim:,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,দাবী :,Ka jingkam ka bym shisha:,ದಾವೆ:,دعویٰ :,ক্লেইমঃ,दावो:,afirmação:,TMjrib wAfM:
7,,2,People in North-eastern states are protected from coronavirus due to high UV radiation from the sun,,,,,,,,,,,,,,,,,,
7,,3,Verdict:,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣ୍ଣୟ :,తీర్పు:,উত্তৰ :,Ka jingshem:,ತೀರ್ಪು:,فیصلہ:,ভর্দিক্টঃ,निर्णय:,Veredito:,acuM-cuMd :
7,,4,Not True!,असत्य / खोटं!,असत्य / झूठ ,ശരിയല്ല!,सत्य होइन । ,সত্য নয়।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,মিছা !,Kam dei kaba shisha!,ನಿಜವಲ್ಲ!,یہ سچ نہیں ہے۔,লাল্লি !,खरें न्हंय!,Falso!,cuMde
7,,5,,,,,,,,,,,,,,,,,,,
7,,6,Why?,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,কিয়? :,Balei?,ಏಕೆ:,کیوں,মরমদিঃ,किद्याक?,Porque?,mrM:
7,,7,"The highest energy UV rays, capable of damaging RNA and DNA including in the novel coronavirus, are almost completely blocked by the ozone layer in the Earth’s atmosphere. Overexposure to these UV rays can lead to skin cancer.",,,,,,,,,,,,,,,,,,
8,Image 8,1,Claim:,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,দাবী :,Ka jingkam ka bym shisha:,ದಾವೆ:,دعویٰ :,ক্লেইমঃ,दावो:,afirmação:,TMjrib wAfM:
8,,2,Consuming garlic can help prevent or recover from COVID-19.,,,,,,,,,,,,,,,,,,
8,,3,Verdict:,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣ୍ଣୟ :,తీర్పు:,উত্তৰ :,Ka jingshem:,ತೀರ್ಪು:,فیصلہ:,ভর্দিক্টঃ,निर्णय:,Veredito:,acuM-cuMd :
8,,4,Most Likely False.,बहुतेक शक्य नाही,असत्य होने कि तीव्र संभावना,മിക്കവാറും തെറ്റാണ്,सम्भवत: सत्य होइन।,খুব সম্ভবত ভুল।,મોટે ભાગે ખોટી,ਗਲਤ ਹੋਣ ਦੀ ਸੰਭਾਵਨਾ ਹੈ,பெரும்பாலும் உண்மையல்ல,ଦୃଢ଼ ସମ୍ଭାବ୍ୟ ମିଥ୍ୟା,చాలా మటుకు అబద్ధాలే,সম্ভৱতঃ মিছা ।,Ka Lam Bakla ,ಬಹುಪಾಲು ತಪ್ಪು,فیصلہ: امکانی طور پر یہ غلط ہے,মশী লানবা য়াই, चड-करून फट,Provavelmente falso,ciHnniZAI aoI
8,,5,(Not Enough Evidence),(पुरेसा पुरावा नाही),(पर्याप्त प्रमाण नहीं है),(കൂടുതൽ തെളിവുകൾ ആവശ്യമാണ്),(पर्याप्त प्रमाण छैन),(অপর্যাপ্ত তথ্য প্রমাণ),(વધુ પુરાવા જરૂરી),(ਕਾਫ਼ੀ ਸਬੂਤ ਨਹੀਂ ਹਨ),(போதுமான சான்றுகள் தற்போது இல்லை),(ପର୍ଯ୍ୟାପ୍ତ ପ୍ରମାଣ ନାହିଁ),(తగిన ఆధారాలు లేవు),(পৰ্য্যাপ্ত প্ৰমাণ নাই),(ym don ki sakhi kiba biang),(ಸಾಕಷ್ಟು ಪುರಾವೆಗಳಿಲ್ಲ),(نا کافی ثبوت),(চপ চাবা খুদম চাংদম লৈত্রি),(अपुरे पुरावे) ,(não há evidência suficiente),( msi fjnA KHd_ri )
8,,6,Why?,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,কিয়? :,Balei?,ಏಕೆ:,کیوں,মরমদিঃ,किद्याक?,Porque?,mrM:
8,,7,"There is no evidence showing that garlic consumption can protect against or help recover from COVID-19, or that it improves immune function in people.",,,,,,,,,,,,,,,,,,
9,Image 9,1,Claim:,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,দাবী :,Ka jingkam ka bym shisha:,ದಾವೆ:,دعویٰ :,ক্লেইমঃ,दावो:,afirmação:,TMjrib wAfM:
9,,2,"Rinsing hands, mouth or nasal passage with coconut oil can prevent coronavirus infection",,,,,,,,,,,,,,,,,,
9,,3,Verdict:,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣ୍ଣୟ :,తీర్పు:,উত্তৰ :,Ka jingshem:,ತೀರ್ಪು:,فیصلہ:,ভর্দিক্টঃ,निर्णय:,Veredito:,acuM-cuMd :
9,,4,Not True!,असत्य / खोटं!,असत्य / झूठ ,ശരിയല്ല!,सत्य होइन । ,সত্য নয়।,સાચું નથી!,ਗਲਤ!,உண்மை இல்லை!,ସତ ନୁହେଁ!,ఇది నిజం కాదు!,মিছা !,Kam dei kaba shisha!,ನಿಜವಲ್ಲ!,یہ سچ نہیں ہے۔,লাল্লি !,खरें न्हंय!,Falso!,cuMde
9,,5,,,,,,,,,,,,,,,,,,,
9,,6,Why?,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,কিয়? :,Balei?,ಏಕೆ:,کیوں,মরমদিঃ,किद्याक?,Porque?,mrM:
9,,7,"Fats found in coconut oil cannot break down the protective coat of viruses, and so cannot destroy them. Only chemically modified fats, like the ones found in soap, are able to destroy the virus.",,,,,,,,,,,,,,,,,,
10,Image 10,1,Claim:,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,দাবী :,Ka jingkam ka bym shisha:,ದಾವೆ:,دعویٰ :,ক্লেইমঃ,दावो:,afirmação:,TMjrib wAfM:
10,,2,Drinking hot tea protects against the novel coronavirus.,,,,,,,,,,,,,,,,,,
10,,3,Verdict:,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣ୍ଣୟ :,తీర్పు:,উত্তৰ :,Ka jingshem:,ತೀರ್ಪು:,فیصلہ:,ভর্দিক্টঃ,निर्णय:,Veredito:,acuM-cuMd :
10,,4,Most Likely False.,बहुतेक शक्य नाही,असत्य होने कि तीव्र संभावना,മിക്കവാറും തെറ്റാണ്,सम्भवत: सत्य होइन।,খুব সম্ভবত ভুল।,મોટે ભાગે ખોટી,ਗਲਤ ਹੋਣ ਦੀ ਸੰਭਾਵਨਾ ਹੈ,பெரும்பாலும் உண்மையல்ல,ଦୃଢ଼ ସମ୍ଭାବ୍ୟ ମିଥ୍ୟା,చాలా మటుకు అబద్ధాలే,সম্ভৱতঃ মিছা ।,Ka Lam Bakla ,ಬಹುಪಾಲು ತಪ್ಪು,فیصلہ: امکانی طور پر یہ غلط ہے,মশী লানবা য়াই, चड-करून फट,Provavelmente falso,ciHnniZAI aoI
10,,5,(Not Enough Evidence),(पुरेसा पुरावा नाही),(पर्याप्त प्रमाण नहीं है),(കൂടുതൽ തെളിവുകൾ ആവശ്യമാണ്),(पर्याप्त प्रमाण छैन),(অপর্যাপ্ত তথ্য প্রমাণ),(વધુ પુરાવા જરૂરી),(ਕਾਫ਼ੀ ਸਬੂਤ ਨਹੀਂ ਹਨ),(போதுமான சான்றுகள் தற்போது இல்லை),(ପର୍ଯ୍ୟାପ୍ତ ପ୍ରମାଣ ନାହିଁ),(తగిన ఆధారాలు లేవు),(পৰ্য্যাপ্ত প্ৰমাণ নাই),(ym don ki sakhi kiba biang),(ಸಾಕಷ್ಟು ಪುರಾವೆಗಳಿಲ್ಲ),(نا کافی ثبوت),(চপ চাবা খুদম চাংদম লৈত্রি),(अपुरे पुरावे) ,(não há evidência suficiente),( msi fjnA KHd_ri )
10,,6,Why?,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,কিয়? :,Balei?,ಏಕೆ:,کیوں,মরমদিঃ,किद्याक?,Porque?,mrM:
10,,7,"Hot liquids like tea can provide temporary relief from symptoms of throat  infections, but the brief and small increase in temperature is not enough to destroy viruses infecting the nasal passage or lungs.  There is also no evidence to show that any compounds in tea leaves can destroy viruses in the body.",,,,,,,,,,,,,,,,,,
11,Image 11,1,Claim:,दावा:,दावा:,വാദം:,दावी:,দাবী:,દાવો:,ਦਾਵਾ:,கூற்று:,ଦାବି:,ఆరోపణ:,দাবী :,Ka jingkam ka bym shisha:,ದಾವೆ:,دعویٰ :,ক্লেইমঃ,दावो:,afirmação:,TMjrib wAfM:
11,,2,Air purifiers can protect you from the novel coronavirus.,,,,,,,,,,,,,,,,,,
11,,3,Verdict:,निर्णय:,निर्णय:,ശാസ്ത്രീയ പ്രതികരണം: ,निर्णय :,উত্তর:,નિષ્કર્ષ:,ਜਵਾਬ:,தீர்ப்பு:,ନିର୍ଣ୍ଣୟ :,తీర్పు:,উত্তৰ :,Ka jingshem:,ತೀರ್ಪು:,فیصلہ:,ভর্দিক্টঃ,निर्णय:,Veredito:,acuM-cuMd :
11,,4,Misleading,,,,,,,,,,,,,,,,,,
11,,5,,,,,,,,,,,,,,,,,,,
11,,6,Why?,का?:,क्यों?:,എന്തുകൊണ്ട്?,किन?,কারণ:,શા માટે:,ਕਿਉਂ:,ஏன்:,କାହିଁକି:,ఎందుకు:,কিয়? :,Balei?,ಏಕೆ:,کیوں,মরমদিঃ,किद्याक?,Porque?,mrM:
11,,7,"It is true that air purifiers with a HEPA filter can filter the novel coronavirus. But, the overall protective effect is unclear. Air purifiers only circulate and filter a small amount of air at a time. Thus, infectious droplets released by a patient can still settle down and contaminate surfaces in a room, making air purifiers ineffective at preventing virus transmission.",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Keywords,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,Image 1,,"Bats, Trees",,,,,,,,,,,,,,,,,,
,Image 2,,,,,,,,,,,,,,,,,,,,
,Image 3,,,,,,,,,,,,,,,,,,,,
,Image 4,,,,,,,,,,,,,,,,,,,,
,Image 5,,,,,,,,,,,,,,,,,,,,
,Image 6,,,,,,,,,,,,,,,,,,,,
,Image 7,,,,,,,,,,,,,,,,,,,,
,Image 8,,,,,,,,,,,,,,,,,,,,
,Image 9,,,,,,,,,,,,,,,,,,,,
,Image 10,,,,,,,,,,,,,,,,,,,,
,Image 11,,,,,,,,,,,,,,,,,,,,